ResponseId,age_group,gender,computer_use_confide,sweet_food_affinity,computer_os,sidebar_rating,categorization_rating,category_sidebar_rating,IV1,ecomm_frequence,trial_id,ease_of_use,IV2,IV3
R_28J2ielzrCfvy71,between 20 and 30,Male,Very confident,Somewhat dislike,macOs,7.0,6.0,5.0,fixed-sidebar,Last purchased between 1 week and 1 month,1,25.0,right_sidebar_no_categorization,6-cupcakes
R_1lsl8kCjFiBTyzK,between 20 and 30,Male,Very confident,Like a lot,macOs,7.0,7.0,7.0,fixed-sidebar,Last purchased between 1 week and 1 month,1,35.0,right_sidebar_no_categorization,6-cupcakes
R_UfKVwc8Ysy6pN1n,between 20 and 30,Female,Confident,Like,macOs,7.0,3.0,2.0,fixed-sidebar,Last purchased between 1 week and 1 month,1,32.5,right_sidebar_no_categorization,6-cupcakes
R_1cTAX495KgNw4zW,between 20 and 30,Male,Confident,Somewhat dislike,macOs,6.0,5.0,7.0,fixed-sidebar,Last purchansed more than 1 month ago,1,30.0,right_sidebar_no_categorization,6-cupcakes
R_3hDv6lQBiaJSbmx,between 20 and 30,Female,Very confident,Somewhat like,macOs,6.0,5.0,5.0,fixed-sidebar,Last purchased within 1 week,1,20.0,right_sidebar_no_categorization,6-cupcakes
R_3JaYb1pOqZxJWjR,between 20 and 30,Male,Very confident,Like a lot,4,6.0,6.0,3.0,fixed-sidebar,Last purchased within 1 week,1,30.0,right_sidebar_no_categorization,6-cupcakes
R_4GvYKPN7O7VmLE5,between 20 and 30,Female,Very confident,Like a lot,Windows,5.0,6.0,4.0,fixed-sidebar,Last purchased within 1 week,1,30.0,right_sidebar_no_categorization,6-cupcakes
R_BVzB1em5zins9Ed,between 20 and 30,Female,Very confident,Somewhat like,Windows,7.0,7.0,7.0,fixed-sidebar,Last purchased between 1 week and 1 month,1,30.0,right_sidebar_no_categorization,6-cupcakes
R_3JEPAzSSS7vl7m8,between 20 and 30,Female,Confident,Somewhat like,macOs,6.0,4.0,6.0,fixed-sidebar,Last purchased within 1 week,1,30.0,right_sidebar_no_categorization,6-cupcakes
R_28J2ielzrCfvy71,between 20 and 30,Male,Very confident,Somewhat dislike,macOs,7.0,6.0,5.0,fixed-sidebar,Last purchased between 1 week and 1 month,2,25.0,right_sidebar_no_categorization,6-cupcakes
R_1lsl8kCjFiBTyzK,between 20 and 30,Male,Very confident,Like a lot,macOs,7.0,7.0,7.0,fixed-sidebar,Last purchased between 1 week and 1 month,2,35.0,right_sidebar_no_categorization,6-cupcakes
R_UfKVwc8Ysy6pN1n,between 20 and 30,Female,Confident,Like,macOs,7.0,3.0,2.0,fixed-sidebar,Last purchased between 1 week and 1 month,2,32.5,right_sidebar_no_categorization,6-cupcakes
R_1cTAX495KgNw4zW,between 20 and 30,Male,Confident,Somewhat dislike,macOs,6.0,5.0,7.0,fixed-sidebar,Last purchansed more than 1 month ago,2,30.0,right_sidebar_no_categorization,6-cupcakes
R_3hDv6lQBiaJSbmx,between 20 and 30,Female,Very confident,Somewhat like,macOs,6.0,5.0,5.0,fixed-sidebar,Last purchased within 1 week,2,20.0,right_sidebar_no_categorization,6-cupcakes
